מס',כלל,הסבר הכלל,מקור,Ver,חסר
93,"דכל מקום ששנה רשב""ג במשנתינו הלכה כמותו",,,,אין הסבר
94,דלא סבירא ליה,,,,אין הסבר
95,דרש אפתחא דבי ריש גלותא,דרש אפתחא דבי ריש גלותא,תולדות דרכי התלמוד,11,
96,"הא אתמר עלה אמר ר""פ",ליכא מאן דפליג עליה - וכן הלכה ,יד מלאכי ,11,
97,הא לא קשיא,"אם אין קושיא אחרת אלא זו, זו אינה קושיא",הליכות עולם,11,
98,הגע עצמך,,,,אין הסבר
99,הואיל ואישתרי אישתרי,,,,אין הסבר
100,הויה,משא ומתן בדברי המשנה,,11,
101,החומרא,"תנאי א - שקיימת דיעה מחמירה אף שהיא לא להלכה , או סייג, או צורך
תנאי ב - לבדו בפני עצמו - בפני רבים אסור - יוהרא ","שמ""ש מזרח ",11,
,,,,,
103,היכי הוה עובדא,היכי דמי,,11,
104,הכא במאי עסקינן,"אומרים על תנאים כדי להסביר דבריהם ולא על אמוראים 
לא מכוון להלכה",הליכות עולם,11,
105,הכי אתמר,"= הכי קאמר - אתא לפרש דה""ק מתניתין, ועל כל פנים הוי תירוצא בדוחק",כללי שמואל,12,
106,הכי דמי,"- שואל על הנושא מהו
- שואל על הדין מהו הדין היוצא (מאי נפקא מינה) 
מכוון להלכה","של""ה
כללי שמואל",11,
107,הכי נמי מסתברא,תירוצא לאו דרך דחיה אתמר אלא לפום קושטא דמילתא (אמת הדבר),שיטה מקובצת,11,
108,הכי קאמר,"= הכי אמתר - אתא לפרש דה""ק מתניתין, ועל כל פנים הוי תירוצא בדוחק",כללי שמואל,11,
109,הכי קתני,לפעמים קאמר 'הכי כתני' וצריך לומר 'חסורי מחסרא  קאמר' ,הליכות אלי ,12,
110,הכל מודים,עדיך לומר 'הכל מודים' מלאמר שרבים מודו ליחיד  ,גופי הלכות ,11,
111,הכתוב מדבר,"פירוש הכתוב - שואלים למה התכוון המקרא - כי יתכן שזה כך או כך 
טעם הכתוב - לא יתכם אחד הפירושים של 'פירוש הכתוב'
בשביל טעם הכתוב אין לדחות שום פירוש הכתוב",,12,
112,הלכה ואין מורין כן,יכול לעשות כן בפני רבים היכא דמצי לאשתמוטי (להתחמק) ולומר דמטעם אחר הוא עושה,יד מלאכי,12,
113,הלכה למשה מסיני,"הלכה למשה מסיני \ אם הלכה נקבל \ הלכה אני אומר - ביטויים להלכה למשה מסיני
אין דנין י""ג מידות על הלכה למשה מסיני
הלכה למשה מסיני \ במה דברים אמורים \ בזמן \ באמת - ביטויים להלכה למשה מסיני","הליכות עולם 
ספר כריתות",7,
114,הלכתא,"הלכתא זה חתימת הסוגיא, וגם חוזר על התיובתא",הליכות אלי,7,
115,הלכתא נינהו,,,,אין הסבר
116,הניחא,"הניחא למאן דאמר .. אלא למאן דאמר - זה לא מכוון להלכה
בשלמא - זה מכוון להלכה",יד מלאכי,7,
117,הרי אמרו,"הכוונה לא להגיד שרבים סברו כך, אלא בעלמא קאמר",הליכות עולם ,7,
118,הרי הוא אומר,,,,
119,הריני כבן עזאי בשוקי טבריא,מוכן להשיב דבר לשואל בעומק ובחריפות כבן עזאי שהיה חריף ודורש בשוקי טבריא,"רש""י",12,
120,השתא,"לא סברי להו - תלמידי רשב""א. מר""ן לא מסכים ",כללי הגמרא,11,
,השתא שאתית להכי,מה הקשר - ההבדל זועק לשמיים,,14,
121,התורה העידה,לאו דוקא מן התורה אלא אסמכתא מדרבנן ,שב שמעתתא ,11,
122,התנן - התניא,"התנן \ התניא - קושיא  - בא להפריך הראייה הקודמת
הא תנן \ הא תניא - סיוע - בניחותא",כללי שמואל,11,
123,ואזדא ר' פלוני לטעמיה,בא לבאר דעתו של רב פלוני \ סובר כמותו ,יד מלאכי,7,
